year,month,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1954,2,1954-02,0.47,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,3,1954-03,-0.05,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,4,1954-04,-0.41,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,5,1954-05,-0.54,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,6,1954-06,-0.5,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,7,1954-07,-0.64,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,8,1954-08,-0.84,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,9,1954-09,-0.9,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,10,1954-10,-0.77,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,11,1954-11,-0.73,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1954,12,1954-12,-0.66,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,1,1955-01,-0.68,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,2,1955-02,-0.62,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,3,1955-03,-0.69,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,4,1955-04,-0.8,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,5,1955-05,-0.79,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,6,1955-06,-0.72,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,7,1955-07,-0.68,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,8,1955-08,-0.75,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,9,1955-09,-1.09,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,10,1955-10,-1.42,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,11,1955-11,-1.67,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
1955,12,1955-12,-1.47,nan,nan,nan,ONI,Monthly Oceanic Nino Index,nan,nan,nan,1.0
