year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1991,1991,-0.9866667,0.509346,-1.4960127,-0.47732067,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1992,1992,0.41,0.09539392,0.31460607,0.5053939,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1993,1993,0.37333333,0.3365016,0.036831737,0.70983493,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1994,1994,0.69,0.24576414,0.44423586,0.93576413,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1995,1995,0.38333333,0.67950964,-0.2961763,1.062843,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1996,1996,1.0333333,0.12662281,0.9067105,1.1599561,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1997,1997,0.7166667,0.12503333,0.5916334,0.8417,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1998,1998,1.9433333,0.29955524,1.6437781,2.2428885,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1999,1999,-0.40666667,0.08144528,-0.48811194,-0.3252214,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2000,2000,-0.81,0.8404166,-1.6504166,0.030416608,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2001,2001,0.58,0.2455606,0.3344394,0.82556057,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2002,2002,-0.19333333,0.42335957,-0.6166929,0.23002625,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2003,2003,1.79,0.1345363,1.6554637,1.9245362,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2004,2004,0.25666666,0.27970222,-0.023035556,0.53636885,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2005,2005,0.54,0.5284884,0.011511624,1.0684884,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2006,2006,0.57,0.5288667,0.041133285,1.0988667,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2007,2007,-0.16000001,0.16093478,-0.32093477,0.00093476474,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2008,2008,-0.92333335,0.2468468,-1.1701801,-0.67648655,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2009,2009,-1.41,0.09539395,-1.5053939,-1.3146061,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2010,2010,0.7733333,0.16653328,0.6068,0.9398666,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2011,2011,-1.0266666,0.34645826,-1.3731248,-0.6802084,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2012,2012,-1.1533333,0.36501145,-1.5183448,-0.78832185,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2013,2013,-0.7266666,0.075718775,-0.8023854,-0.65094787,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2014,2014,-0.050000012,0.6726812,-0.7226812,0.6226812,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2015,2015,1.6766666,0.04725818,1.6294085,1.7239248,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2016,2016,1.8499999,0.5411099,1.30889,2.39111,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2017,2017,0.6433334,0.18448126,0.4588521,0.82781464,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2018,2018,0.10333333,0.33501244,-0.23167911,0.43834576,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2019,2019,0.089999996,0.21656407,-0.12656409,0.30656406,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2020,2020,-0.9066667,0.08386496,-0.9905317,-0.8228017,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2021,2021,-0.7133333,0.3350124,-1.0483457,-0.3783209,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2022,2022,-1.4866667,0.38214308,-1.8688097,-1.1045237,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2023,2023,-1.2133334,0.37072,-1.5840534,-0.84261334,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2024,2024,-0.61333334,0.21501939,-0.82835275,-0.39831394,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
2025,2025,-0.65333337,0.22143471,-0.8747681,-0.43189865,PDO,Winter Pacific Decadal Oscillation Index,nan,nan,nan,1.0
1950,1950,-2.1899998,0.5716642,-2.761664,-1.6183356,PDO,Spring Pacific Decadal Oscillation Index,nan,nan,nan,2.0
1951,1951,-1.1133333,0.24131583,-1.3546492,-0.8720175,PDO,Spring Pacific Decadal Oscillation Index,nan,nan,nan,2.0
1952,1952,-1.5833334,0.09451636,-1.6778498,-1.488817,PDO,Spring Pacific Decadal Oscillation Index,nan,nan,nan,2.0
