time,"fraction below threshold ""mn_75kmM"""
1980-01-01,0.20097473290267356
1980-02-01,0.38164065922227025
1980-03-01,0.09902453410006817
1980-04-01,0.14305359003440613
1980-05-01,0.1351141700022289
1980-06-01,0.3263108140136332
1980-07-01,0.21303458446889453
1980-08-01,0.4861140416854019
1980-09-01,0.39710696045999266
1980-10-01,0.08099263716777119
1980-11-01,0.004275994511929774
1980-12-01,0.002137997255964887
1981-01-01,0.00320699588394733
1981-02-01,0.004275994511929774
1981-03-01,0.0053449931399122165
1981-04-01,0.03329384948539325
1981-05-01,0.07083016248444325
1981-06-01,0.13613829381151818
1981-07-01,0.3312038054959927
1981-08-01,0.2700968285024821
1981-09-01,0.13929940102812025
1981-10-01,0.034014448472306016
1981-11-01,0.10566427309153119
1981-12-01,0.0496887597821195
1982-01-01,0.5837296380987284
1982-02-01,0.6433088316630304
1982-03-01,0.537060619640897
1982-04-01,0.5911756145309198
1982-05-01,0.7253565268620369
1982-06-01,1.0
1982-07-01,0.17947554390360995
1982-08-01,0.1409967686533804
1982-09-01,0.12007357843949727
1982-10-01,0.24181795112933102
1982-11-01,0.3010257952991514
1982-12-01,0.03485361218720251
1983-01-01,0.1255155427414277
1983-02-01,0.09297893371207541
1983-03-01,0.011841576127134337
1983-04-01,0.0
1983-05-01,0.00320699588394733
1983-06-01,0.05662146643146259
1983-07-01,0.018172976675701537
1983-08-01,0.05231055907591401
1983-09-01,0.09010194755048619
1983-10-01,0.34236795553960947
1983-11-01,0.030193867952916013
1983-12-01,0.25198513040521703
1984-01-01,0.4382873307208871
1984-02-01,0.6169670305770973
1984-03-01,0.2316647048258726
1984-04-01,0.35840090111458395
1984-05-01,0.46906329583728296
1984-06-01,0.7263004503115748
1984-07-01,0.319014137141744
1984-08-01,0.09914614022958532
1984-09-01,0.08747895640964726
1984-10-01,0.0884525573301497
1984-11-01,0.5116126403520488
1984-12-01,0.3996365144476809
1985-01-01,0.5244435182104485
1985-02-01,0.942205501083497
1985-03-01,1.0
1985-04-01,1.0
1985-05-01,0.6471999770156206
1985-06-01,0.6072342988290512
1985-07-01,0.34213853884175194
1985-08-01,0.20159659188971463
1985-09-01,0.4457520073375971
1985-10-01,0.5944554097519854
1985-11-01,1.0
1985-12-01,0.9988411467058649
1986-01-01,0.8263658111518701
1986-02-01,0.5459327499731566
1986-03-01,0.26232907422343565
1986-04-01,0.4151138714790216
1986-05-01,0.5208146008009169
1986-06-01,0.24964281143806327
1986-07-01,0.21346998676683984
1986-08-01,0.6380355650404925
1986-09-01,0.528326817545689
1986-10-01,0.549700869608331
1986-11-01,0.3595038588307512
1986-12-01,0.09328138193778888
1987-01-01,0.1242715752245261
1987-02-01,0.2105837293447272
1987-03-01,0.19782655859265394
1987-04-01,0.07415302399468574
1987-05-01,0.11172898312643591
1987-06-01,0.8412844090780363
1987-07-01,0.3052590158405438
1987-08-01,0.5066457723018734
1987-09-01,0.4217505321992221
1987-10-01,0.20030138013185825
1987-11-01,0.08415629129630893
1987-12-01,0.06661175882898845
1988-01-01,0.41955069458478117
1988-02-01,0.7240032447680405
1988-03-01,0.6037971926029893
1988-04-01,0.42326581136046626
1988-05-01,0.7571662275820965
1988-06-01,0.7416769263154485
1988-07-01,0.2562500934097627
1988-08-01,0.5681882706523027
1988-09-01,0.6913661902760576
1988-10-01,0.37317110146708216
1988-11-01,0.26413519225371307
1988-12-01,0.2560428101703312
1989-01-01,0.982959155528652
1989-02-01,1.0
1989-03-01,1.0
1989-04-01,0.6378318155675963
1989-05-01,0.05031537368523055
1989-06-01,0.2768793793875966
1989-07-01,0.052128497070287834
1989-08-01,0.16084010555872086
1989-09-01,0.420216950447256
1989-10-01,0.39464786606986085
1989-11-01,0.37375958953478344
1989-12-01,0.3838262244011947
1990-01-01,0.4418863869845787
1990-02-01,1.0
1990-03-01,0.8378299991152637
1990-04-01,0.5272008790277559
1990-05-01,0.5518840530568978
1990-06-01,0.48505624513353374
1990-07-01,0.16439266603368502
1990-08-01,0.1957617831133461
1990-09-01,0.05452970318488109
1990-10-01,0.25513180752848225
1990-11-01,0.15834217223300626
1990-12-01,0.5869925882345592
1991-01-01,0.9907541869613595
1991-02-01,0.9803341023716438
1991-03-01,0.9192135941180741
1991-04-01,1.0
1991-05-01,0.9978046304243947
1991-06-01,1.0
1991-07-01,0.29822783238436146
1991-08-01,0.21330590681783668
1991-09-01,0.14266401435630394
1991-10-01,0.3397350819236891
1991-11-01,0.49425834966751503
1991-12-01,0.2780967461871426
1992-01-01,0.22681021167912782
1992-02-01,0.027876673248084707
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.009625128654145634
1992-06-01,0.13330882546281927
1992-07-01,0.06550562753694153
1992-08-01,0.20410660277644796
1992-09-01,0.45411527546155545
1992-10-01,0.22692809598682123
1992-11-01,0.147216202966719
1992-12-01,0.42930163332108906
1993-01-01,0.7793010679298137
1993-02-01,0.6146293068588803
1993-03-01,0.533270371254977
1993-04-01,0.3744078988903274
1993-05-01,0.08627357568184443
1993-06-01,0.029948525592722985
1993-07-01,0.10121207811216681
1993-08-01,0.09363190106489835
1993-09-01,0.49575138315849543
1993-10-01,0.33560184417235484
1993-11-01,0.4114085951136662
1993-12-01,0.5382494356495536
1994-01-01,0.2165918700485067
1994-02-01,0.47554214778643045
1994-03-01,0.12481295897224459
1994-04-01,0.32241077171963706
1994-05-01,0.04709390061282923
1994-06-01,0.05504476265024067
1994-07-01,0.3031349661822096
1994-08-01,0.036383219109473536
1994-09-01,0.06178397221413163
1994-10-01,0.2319766206543627
1994-11-01,0.664891746351323
1994-12-01,0.9252562185085327
1995-01-01,0.4823587454194888
1995-02-01,0.26072412546936724
1995-03-01,0.13274985614943546
1995-04-01,0.07019532348730896
1995-05-01,0.11861943519965544
1995-06-01,0.6250500334913947
1995-07-01,0.06894786980120102
1995-08-01,0.15450280948483602
1995-09-01,0.0409434450045882
1995-10-01,0.018185399682612468
1995-11-01,0.20388357766857812
1995-12-01,0.006447038100189423
1996-01-01,0.046312621796845935
1996-02-01,0.1751468385737318
1996-03-01,0.02686714854243753
1996-04-01,0.15768083290014154
1996-05-01,0.11608886509597646
1996-06-01,0.255457779002567
1996-07-01,0.2523817871836524
1996-08-01,0.35314608640207984
1996-09-01,0.1922654926572339
1996-10-01,0.2514526791394391
1996-11-01,0.42559463293571953
1996-12-01,0.5668190615171023
1997-01-01,0.3934099890053906
1997-02-01,0.4840940903824945
1997-03-01,0.5671796372367092
1997-04-01,0.23098878613386759
1997-05-01,0.021379972559648866
1997-06-01,0.021379972559648866
1997-07-01,0.039404184045557754
1997-08-01,0.02617264447436798
1997-09-01,0.01282798353578932
1997-10-01,0.0010689986279824434
1997-11-01,0.0
1997-12-01,0.002189286787108975
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.0
1998-04-01,0.0
1998-05-01,0.03638114208299709
1998-06-01,0.23763488269469507
1998-07-01,0.12466916376340666
1998-08-01,0.10368819831749303
1998-09-01,0.19750537599135623
1998-10-01,0.07385568125447221
1998-11-01,0.005349134142215859
1998-12-01,0.24379046479441607
1999-01-01,0.5719092774507499
1999-02-01,0.9988411467058649
1999-03-01,1.0
1999-04-01,1.0
1999-05-01,0.9677541104129213
1999-06-01,0.8838945274934806
1999-07-01,0.29687012558141157
1999-08-01,0.1095458597681034
1999-09-01,0.42755828664122286
1999-10-01,0.5002682445307848
1999-11-01,0.38011817914232415
1999-12-01,0.08012856146563495
2000-01-01,0.41300321898970827
2000-02-01,0.5630469278309687
2000-03-01,0.6169735369232028
2000-04-01,0.18210782908022158
2000-05-01,0.35036384997415687
2000-06-01,0.6805909256196107
2000-07-01,0.3111147092668114
2000-08-01,0.23873468265018336
2000-09-01,0.26925000929772225
2000-10-01,0.37985814626182934
2000-11-01,0.7420146763508764
2000-12-01,0.6687288158816088
2001-01-01,0.6774865219634015
2001-02-01,0.7240563875407237
2001-03-01,0.6663743140898175
2001-04-01,0.9364903225716867
2001-05-01,0.9898705302521832
2001-06-01,0.5664744015610477
2001-07-01,0.41619881873520265
2001-08-01,0.28541890877438075
2001-09-01,0.4213547328363418
2001-10-01,0.5630190138689846
2001-11-01,0.7406447640635041
2001-12-01,0.6446308396482647
2002-01-01,0.5153017985832314
2002-02-01,0.8721161747913474
2002-03-01,1.0
2002-04-01,0.9503136740847241
2002-05-01,1.0
2002-06-01,0.5771970556077108
2002-07-01,0.20342269084704062
2002-08-01,0.5171434388739244
2002-09-01,0.42547715111004847
2002-10-01,0.6506979461826184
2002-11-01,0.3772679183579567
2002-12-01,0.00320699588394733
2003-01-01,0.007556874957526152
2003-02-01,0.05517224153857345
2003-03-01,0.0858898827457905
2003-04-01,0.216118609274262
2003-05-01,0.13659640824314118
2003-06-01,0.3132324390032456
2003-07-01,0.2630163734907185
2003-08-01,0.21539788222917017
2003-09-01,0.3660638265527543
2003-10-01,0.16114877691397123
2003-11-01,0.19808057614160368
2003-12-01,0.09401011435993445
2004-01-01,0.47239990333720205
2004-02-01,0.34278504233733065
2004-03-01,0.3778778108112671
2004-04-01,0.018175047176853358
2004-05-01,0.03316173298012578
2004-06-01,0.09406923911289901
2004-07-01,0.13246140664595993
2004-08-01,0.10645498691570085
2004-09-01,0.06912336567615661
2004-10-01,0.10576684735688069
2004-11-01,0.4199855071168808
2004-12-01,0.26721986139893805
2005-01-01,0.44624348564382477
2005-02-01,0.40120576226869525
2005-03-01,0.058910790999205404
2005-04-01,0.16028047538805051
2005-05-01,0.0
2005-06-01,0.05139058382296564
2005-07-01,0.1204676478161789
2005-08-01,0.532546769839089
2005-09-01,0.40620928943331513
2005-10-01,0.2636993047797624
2005-11-01,0.14760681823799984
2005-12-01,0.2542591538302182
2006-01-01,0.056070317761855004
2006-02-01,0.4464018501901011
2006-03-01,0.6017238934895726
2006-04-01,0.2754287053954327
2006-05-01,0.32684607648019315
2006-06-01,0.22456735503368944
2006-07-01,0.32502497153309756
2006-08-01,0.5851892562397267
