time,"fraction below threshold ""mn_75kmS"""
1980-01-01,0.20097473290267356
1980-02-01,0.38164065922227025
1980-03-01,0.6513398049501165
1980-04-01,0.5526235865742978
1980-05-01,0.010692056780976256
1980-06-01,0.5179098446316227
1980-07-01,0.21303458446889453
1980-08-01,0.4257352041947723
1980-09-01,0.17432684291892048
1980-10-01,0.08099263716777119
1980-11-01,0.4151542085090734
1980-12-01,0.0
1981-01-01,0.00320699588394733
1981-02-01,0.004275994511929774
1981-03-01,0.18418280220929456
1981-04-01,0.17064832341394265
1981-05-01,0.00641399176789466
1981-06-01,0.27940480952816094
1981-07-01,0.3312038054959927
1981-08-01,0.22221465155988868
1981-09-01,0.02353867482713197
1981-10-01,0.034014448472306016
1981-11-01,1.0
1981-12-01,0.0010689986279824434
1982-01-01,0.5837296380987284
1982-02-01,0.6433088316630304
1982-03-01,1.0
1982-04-01,1.0
1982-05-01,0.12355258100126931
1982-06-01,1.0
1982-07-01,0.17947554390360995
1982-08-01,0.08751236661908968
1982-09-01,0.02259626823152164
1982-10-01,0.24181795112933102
1982-11-01,1.0
1982-12-01,0.0021646574894325175
1983-01-01,0.1255155427414277
1983-02-01,0.09297893371207541
1983-03-01,0.23505057346217653
1983-04-01,0.13576008762507738
1983-05-01,0.0
1983-06-01,0.10960486772106352
1983-07-01,0.018172976675701537
1983-08-01,0.03249792070555705
1983-09-01,0.011758984907806878
1983-10-01,0.34236795553960947
1983-11-01,0.9328591053764974
1983-12-01,0.060667562906500896
1984-01-01,0.4382873307208871
1984-02-01,0.6169670305770973
1984-03-01,0.8962136351802876
1984-04-01,0.7921693792324878
1984-05-01,0.03853154275730466
1984-06-01,0.96615157003482
1984-07-01,0.319014137141744
1984-08-01,0.06136738455248008
1984-09-01,0.01176312591011052
1984-10-01,0.0884525573301497
1984-11-01,1.0
1984-12-01,0.11200953741737953
1985-01-01,0.5244435182104485
1985-02-01,0.942205501083497
1985-03-01,1.0
1985-04-01,1.0
1985-05-01,0.2019508526239571
1985-06-01,0.8945542531669536
1985-07-01,0.34213853884175194
1985-08-01,0.1381403105753137
1985-09-01,0.0449476278775817
1985-10-01,0.5944554097519854
1985-11-01,1.0
1985-12-01,0.9076113044363824
1986-01-01,0.8263658111518701
1986-02-01,0.5459327499731566
1986-03-01,0.6733130143200884
1986-04-01,0.7278999610246967
1986-05-01,0.08047460027247548
1986-06-01,0.46051482440316277
1986-07-01,0.21346998676683984
1986-08-01,0.481418880766605
1986-09-01,0.15928747996700823
1986-10-01,0.549700869608331
1986-11-01,1.0
1986-12-01,0.023703591551589596
1987-01-01,0.1242715752245261
1987-02-01,0.2105837293447272
1987-03-01,0.8559747686519795
1987-04-01,0.3703594124665884
1987-05-01,0.008551989023859547
1987-06-01,0.996523440117594
1987-07-01,0.3052590158405438
1987-08-01,0.3700335245340684
1987-09-01,0.16527310199482087
1987-10-01,0.20030138013185825
1987-11-01,0.8663539645584205
1987-12-01,0.018550853172169892
1988-01-01,0.41955069458478117
1988-02-01,0.7240032447680405
1988-03-01,1.0
1988-04-01,0.9081913093092203
1988-05-01,0.021379972559648866
1988-06-01,1.0
1988-07-01,0.2562500934097627
1988-08-01,0.40117187366836266
1988-09-01,0.30993682315646626
1988-10-01,0.37317110146708216
1988-11-01,1.0
1988-12-01,0.05845626943188134
1989-01-01,0.982959155528652
1989-02-01,1.0
1989-03-01,1.0
1989-04-01,0.9492532585527477
1989-05-01,0.021379972559648866
1989-06-01,0.6426069351574525
1989-07-01,0.052128497070287834
1989-08-01,0.10543984257688438
1989-09-01,0.11556038313228127
1989-10-01,0.39464786606986085
1989-11-01,1.0
1989-12-01,0.17769889213801993
1990-01-01,0.4418863869845787
1990-02-01,1.0
1990-03-01,1.0
1990-04-01,0.8213750980982042
1990-05-01,0.10207686289262721
1990-06-01,0.9777485691209774
1990-07-01,0.16439266603368502
1990-08-01,0.13219355910090258
1990-09-01,0.017103978047719095
1990-10-01,0.25513180752848225
1990-11-01,0.7881181045852306
1990-12-01,0.4579742199100149
1991-01-01,0.9907541869613595
1991-02-01,0.9803341023716438
1991-03-01,1.0
1991-04-01,1.0
1991-05-01,0.3502798303931352
1991-06-01,1.0
1991-07-01,0.29822783238436146
1991-08-01,0.13873946517744154
1991-09-01,0.022467605697997703
1991-10-01,0.3397350819236891
1991-11-01,0.9713963513134368
1991-12-01,0.09214390805077859
1992-01-01,0.22681021167912782
1992-02-01,0.027876673248084707
1992-03-01,0.11951851030456613
1992-04-01,0.004278065013081595
1992-05-01,0.0
1992-06-01,0.23113470189421795
1992-07-01,0.06550562753694153
1992-08-01,0.1184250031229709
1992-09-01,0.16809045228022118
1992-10-01,0.22692809598682123
1992-11-01,0.8884214523394574
1992-12-01,0.16676754868824178
1993-01-01,0.7793010679298137
1993-02-01,0.6146293068588803
1993-03-01,0.981498736639147
1993-04-01,0.7349252608782223
1993-05-01,0.00320699588394733
1993-06-01,0.05068049870757231
1993-07-01,0.10121207811216681
1993-08-01,0.06445854483616681
1993-09-01,0.1065571516558317
1993-10-01,0.33560184417235484
1993-11-01,1.0
1993-12-01,0.18967181326251198
1994-01-01,0.2165918700485067
1994-02-01,0.47554214778643045
1994-03-01,0.9019834798669439
1994-04-01,0.5416087156609811
1994-05-01,0.00320699588394733
1994-06-01,0.09828396470001552
1994-07-01,0.3031349661822096
1994-08-01,0.018179188179157004
1994-09-01,0.010692056780976256
1994-10-01,0.2319766206543627
1994-11-01,1.0
1994-12-01,0.3696392666975793
1995-01-01,0.4823587454194888
1995-02-01,0.26072412546936724
1995-03-01,0.771964745559347
1995-04-01,0.40947683108416777
1995-05-01,0.00641399176789466
1995-06-01,0.9496478060062283
1995-07-01,0.06894786980120102
1995-08-01,0.08713666556797807
1995-09-01,0.013901123166075407
1995-10-01,0.018185399682612468
1995-11-01,0.8528334401932484
1995-12-01,0.0
1996-01-01,0.046312621796845935
1996-02-01,0.1751468385737318
1996-03-01,0.5153997241245564
1996-04-01,0.3861272296139644
1996-05-01,0.00320699588394733
1996-06-01,0.5006900921754611
1996-07-01,0.2523817871836524
1996-08-01,0.2586944954599592
1996-09-01,0.021622681188056287
1996-10-01,0.2514526791394391
1996-11-01,1.0
1996-12-01,0.26069145381322245
1997-01-01,0.3934099890053906
1997-02-01,0.4840940903824945
1997-03-01,0.9965272858844857
1997-04-01,0.6730272958869534
1997-05-01,0.021379972559648866
1997-06-01,0.025664249076185926
1997-07-01,0.039404184045557754
1997-08-01,0.018172976675701537
1997-09-01,0.002137997255964887
1997-10-01,0.0010689986279824434
1997-11-01,0.34249396449033437
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.2048811265673272
1998-04-01,0.11766871091452326
1998-05-01,0.0
1998-06-01,0.4687971933402011
1998-07-01,0.12466916376340666
1998-08-01,0.07248765337461294
1998-09-01,0.049452637440477086
1998-10-01,0.07385568125447221
1998-11-01,0.9629859148499116
1998-12-01,0.006563795158364255
1999-01-01,0.5719092774507499
1999-02-01,0.9988411467058649
1999-03-01,1.0
1999-04-01,1.0
1999-05-01,0.2004239533917114
1999-06-01,1.0
1999-07-01,0.29687012558141157
1999-08-01,0.06070941975356846
1999-09-01,0.13785826314060057
1999-10-01,0.5002682445307848
1999-11-01,1.0
1999-12-01,0.009682903198573062
2000-01-01,0.41300321898970827
2000-02-01,0.5630469278309687
2000-03-01,1.0
2000-04-01,0.5901004138780125
2000-05-01,0.026737385443809696
2000-06-01,1.0
2000-07-01,0.3111147092668114
2000-08-01,0.17134041746468032
2000-09-01,0.05948567684135102
2000-10-01,0.37985814626182934
2000-11-01,1.0
2000-12-01,0.24333008379491056
2001-01-01,0.6774865219634015
2001-02-01,0.7240563875407237
2001-03-01,1.0
2001-04-01,1.0
2001-05-01,0.21528944296091912
2001-06-01,0.7848379280338161
2001-07-01,0.41619881873520265
2001-08-01,0.1860899107673344
2001-09-01,0.16335406454268347
2001-10-01,0.5630190138689846
2001-11-01,1.0
2001-12-01,0.3854621881953092
2002-01-01,0.5153017985832314
2002-02-01,0.8721161747913474
2002-03-01,1.0
2002-04-01,1.0
2002-05-01,0.4387308153075071
2002-06-01,1.0
2002-07-01,0.20342269084704062
2002-08-01,0.422261217593808
2002-09-01,0.15075831852640467
2002-10-01,0.6506979461826184
2002-11-01,0.9988411467058649
2002-12-01,0.002137997255964887
2003-01-01,0.007556874957526152
2003-02-01,0.05517224153857345
2003-03-01,0.9503252430211458
2003-04-01,0.5400341888585071
2003-05-01,0.00962098765184199
2003-06-01,0.5006474637572593
2003-07-01,0.2630163734907185
2003-08-01,0.14703526760731386
2003-09-01,0.11551985845493182
2003-10-01,0.16114877691397123
2003-11-01,0.9475688640901956
2003-12-01,0.02384265990715645
2004-01-01,0.47239990333720205
2004-02-01,0.34278504233733065
2004-03-01,0.9456938261762016
2004-04-01,0.17442187273457493
2004-05-01,0.008551989023859547
2004-06-01,0.1309016387843792
2004-07-01,0.13246140664595993
2004-08-01,0.04650431027243496
2004-09-01,0.010689986279824433
2004-10-01,0.10576684735688069
2004-11-01,0.967656041966487
2004-12-01,0.08930808229145437
2005-01-01,0.44624348564382477
2005-02-01,0.40120576226869525
2005-03-01,0.6760754859665857
2005-04-01,0.42561117312041574
2005-05-01,0.0
2005-06-01,0.21088791106014193
2005-07-01,0.1204676478161789
2005-08-01,0.434442652424843
2005-09-01,0.1498929146003381
2005-10-01,0.2636993047797624
2005-11-01,0.9791096052568108
2005-12-01,0.11752431574104716
2006-01-01,0.056070317761855004
2006-02-01,0.4464018501901011
2006-03-01,1.0
2006-04-01,0.8013129121100201
2006-05-01,0.07290795724282498
2006-06-01,0.4534220228560656
2006-07-01,0.32502497153309756
2006-08-01,0.4672814671735069
2006-09-01,0.2888769554249009
2006-10-01,0.5422513283038585
2006-11-01,1.0
2006-12-01,0.31343903780352655
2007-01-01,0.6143061176927505
2007-02-01,0.8579160483986441
2007-03-01,1.0
2007-04-01,1.0
