time,"fraction below threshold ""mn_75kmM"""
1980-01-01,0.19876658203784148
1980-02-01,0.11840279743154984
1980-03-01,0.0
1980-04-01,0.09834132595897331
1980-05-01,0.16652841024809611
1980-06-01,0.09780047161764989
1980-07-01,0.15369835618241304
1980-08-01,0.7284305935849008
1980-09-01,0.30170126417878335
1980-10-01,0.11153350866016574
1980-11-01,0.0
1980-12-01,0.0
1981-01-01,0.0
1981-02-01,0.0
1981-03-01,0.0
1981-04-01,0.07581581056666281
1981-05-01,0.1533867663140337
1981-06-01,0.044082964365975114
1981-07-01,0.34183045820348223
1981-08-01,0.1937868193010908
1981-09-01,0.18822784630592865
1981-10-01,0.025320898688298243
1981-11-01,0.33887565212144366
1981-12-01,0.14892620919776248
1982-01-01,0.743648291987
1982-02-01,0.8526395257496888
1982-03-01,0.3843392673287149
1982-04-01,0.6738463870977822
1982-05-01,0.8675091619552151
1982-06-01,0.8659528262520876
1982-07-01,0.18136358949235157
1982-08-01,0.11587092380063228
1982-09-01,0.1594139126179139
1982-10-01,0.07320311362695789
1982-11-01,0.010311161865634376
1982-12-01,0.1236906124721152
1983-01-01,0.0675708871304624
1983-02-01,0.13190465510249258
1983-03-01,0.0
1983-04-01,0.0
1983-05-01,0.09058038840448497
1983-06-01,0.15276084139326376
1983-07-01,0.01818049634653052
1983-08-01,0.008978181868495885
1983-09-01,0.043283619058893386
1983-10-01,0.12814446566782953
1983-11-01,0.07886816702278657
1983-12-01,0.12937930640480047
1984-01-01,0.16458203096589336
1984-02-01,0.5517675514812526
1984-03-01,0.04844292818702188
1984-04-01,0.4802646764719444
1984-05-01,0.07400186128008039
1984-06-01,0.4031796217472915
1984-07-01,0.2743829359745439
1984-08-01,0.04497236040678261
1984-09-01,0.06784512664817463
1984-10-01,0.025915604891117057
1984-11-01,0.11236343779442878
1984-12-01,0.4030697842992931
1985-01-01,0.3287714046824593
1985-02-01,0.9907566937113669
1985-03-01,1.0
1985-04-01,1.0
1985-05-01,0.3507045497994151
1985-06-01,0.5588527500502588
1985-07-01,0.4709749401654871
1985-08-01,0.23767445812556454
1985-09-01,0.1339190173617919
1985-10-01,0.5777765582263917
1985-11-01,0.937842248972081
1985-12-01,0.9453131212748306
1986-01-01,0.526873108602732
1986-02-01,0.587259546079309
1986-03-01,0.0
1986-04-01,0.46726594637788565
1986-05-01,0.2898423690397308
1986-06-01,0.09600334432229986
