year,time,index,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,1950,2.8171,0.4979,2.3192,3.315,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1951,1951,4.044666666666667,0.40469357406424045,3.6399730926024265,4.449360240730908,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1952,1952,3.2698705882352943,0.38692941176470597,2.882941176470588,3.6568000000000005,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1953,1953,3.5629333333333335,0.34925235702696256,3.213680976306371,3.912185690360296,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1954,1954,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1955,1955,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1956,1956,2.546666666666667,0.0,2.546666666666667,2.546666666666667,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1957,1957,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1958,1958,4.065714285714286,0.0,4.065714285714286,4.065714285714286,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1959,1959,3.396029411764706,0.25102941176470583,3.145,3.6470588235294117,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1960,1960,3.421282051282051,0.30205128205128196,3.1192307692307693,3.723333333333333,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1961,1961,4.5331,0.10810000000000031,4.425,4.6412,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1962,1962,2.9881875,0.08618749999999986,2.902,3.074375,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1963,1963,4.998,0.0,4.998,4.998,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1964,1964,3.569285714285714,0.0,3.569285714285714,3.569285714285714,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1965,1965,4.29,0.0,4.29,4.29,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1966,1966,3.145,0.0,3.145,3.145,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1967,1967,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1968,1968,3.5599999999999996,0.0,3.5599999999999996,3.5599999999999996,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1969,1969,4.739576923076923,0.5865769230769224,4.1530000000000005,5.326153846153845,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1970,1970,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1971,1971,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1972,1972,3.1309285714285715,0.16807142857142843,2.962857142857143,3.299,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1973,1973,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1974,1974,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1975,1975,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1976,1976,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1977,1977,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1978,1978,3.5115384615384615,0.20153846153846167,3.3099999999999996,3.7130769230769234,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1979,1979,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1980,1980,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1981,1981,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1982,1982,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1983,1983,nan,nan,nan,nan,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1984,1984,3.125,0.052692307692307816,3.0723076923076924,3.1776923076923076,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1985,1985,4.1525,0.0,4.1525,4.1525,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1986,1986,4.323333333333333,0.0,4.323333333333333,4.323333333333333,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1987,1987,3.56,0.0,3.56,3.56,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1988,1988,4.05,0.0,4.05,4.05,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1989,1989,3.8977999999999997,0.0,3.8977999999999997,3.8977999999999997,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1990,1990,3.6914285714285713,0.0,3.6914285714285713,3.6914285714285713,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1991,1991,3.22,0.0,3.22,3.22,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1992,1992,3.1,0.0,3.1,3.1,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1993,1993,3.5,0.0,3.5,3.5,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1994,1994,3.04,0.0,3.04,3.04,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1995,1995,4.564285714285714,0.0,4.564285714285714,4.564285714285714,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1996,1996,4.577272727272727,0.0,4.577272727272727,4.577272727272727,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1997,1997,2.8457142857142856,0.0,2.8457142857142856,2.8457142857142856,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1998,1998,3.7016666666666667,0.0,3.7016666666666667,3.7016666666666667,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
1999,1999,2.6018181818181816,0.0,2.6018181818181816,2.6018181818181816,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2000,2000,2.7790909090909093,0.0,2.7790909090909093,2.7790909090909093,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2001,2001,3.528888888888889,0.0,3.528888888888889,3.528888888888889,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2002,2002,4.460999999999999,0.0,4.460999999999999,4.460999999999999,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2003,2003,3.7750000000000004,0.0,3.7750000000000004,3.7750000000000004,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2004,2004,2.4272727272727272,0.0,2.4272727272727272,2.4272727272727272,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2005,2005,2.069,0.0,2.069,2.069,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2006,2006,4.188,0.0,4.188,4.188,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2007,2007,2.2218181818181817,0.0,2.2218181818181817,2.2218181818181817,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
2008,2008,3.3163636363636364,0.0,3.3163636363636364,3.3163636363636364,DO (ml/L),Winter Dissolved Oxygen at 150 m: 800_800 (33.48N -122.54W),33.47972406349207,-122.53709765714284,150.0,1.0
