time,"fraction below threshold ""mn_75kmS"""
1982-01-01,0.5576301562802094
1982-02-01,0.6137165065932725
1982-03-01,1.0
1982-04-01,1.0
1982-05-01,0.07923952847943869
1982-06-01,1.0
1982-07-01,0.39333651394750774
1982-08-01,0.13046113700569087
1982-09-01,0.0
1982-10-01,0.02872644846121298
1982-11-01,0.8226486389109771
1982-12-01,0.0
1983-01-01,0.0
1983-02-01,0.0
1983-03-01,0.1085158247480856
1983-04-01,0.050890158168898386
1983-05-01,0.0
1983-06-01,0.2407545277051304
1983-07-01,0.0
1983-08-01,0.0
1983-09-01,0.0
1983-10-01,0.22084304323621037
1983-11-01,0.45256728082028175
1983-12-01,0.03618347011650935
1984-01-01,0.42288419240457076
1984-02-01,0.46002165793836725
1984-03-01,0.8846211600100314
1984-04-01,0.8996011948125815
1984-05-01,0.050478635831357144
1984-06-01,1.0
1984-07-01,0.5533103534368518
1984-08-01,0.04366070220075626
1984-09-01,0.0
1984-10-01,0.06470367177267555
1984-11-01,1.0
1984-12-01,0.2837565343694658
1985-01-01,0.527211442799888
1985-02-01,0.9612481727882185
1985-03-01,1.0
1985-04-01,1.0
1985-05-01,0.20308106367740758
1985-06-01,0.9247888062252491
1985-07-01,0.31867625272311967
1985-08-01,0.11967259206715387
1985-09-01,0.0
1985-10-01,0.5364006320943543
1985-11-01,1.0
1985-12-01,0.8995362906039347
1986-01-01,0.6025221704180086
1986-02-01,0.5126370374964384
1986-03-01,0.5429878169396979
1986-04-01,0.7850044222962312
1986-05-01,0.01436322423060649
1986-06-01,0.9384547380554985
1986-07-01,0.31551216006138105
1986-08-01,0.583365064957218
1986-09-01,0.07588178930522393
1986-10-01,0.5030911108865037
1986-11-01,1.0
1986-12-01,0.09435926563869054
1987-01-01,0.38591532098703374
1987-02-01,0.29815447206738693
1987-03-01,1.0
1987-04-01,0.4231535998697157
1987-05-01,0.0
1987-06-01,1.0
1987-07-01,0.5854194376584266
1987-08-01,0.6767051176562481
1987-09-01,0.15734593076938605
1987-10-01,0.18802144380113703
1987-11-01,0.5617238973423002
1987-12-01,0.06590378951766758
1988-01-01,0.5350661027606699
1988-02-01,0.891850830217019
1988-03-01,1.0
1988-04-01,1.0
1988-05-01,0.0
1988-06-01,1.0
1988-07-01,0.3960527127820213
1988-08-01,0.5617823777727587
1988-09-01,0.2627986091512538
1988-10-01,0.29620570218111064
1988-11-01,0.7160656346868983
1988-12-01,0.29825808999752196
1989-01-01,0.9459741667243615
1989-02-01,1.0
1989-03-01,1.0
1989-04-01,0.8242977868805483
1989-05-01,0.0
1989-06-01,1.0
1989-07-01,0.021544836345909736
1989-08-01,0.12777035892272104
1989-09-01,0.12103234993017677
1989-10-01,0.4691492802387715
1989-11-01,1.0
1989-12-01,0.152568674642968
1990-01-01,0.37219189778154915
1990-02-01,1.0
1990-03-01,1.0
1990-04-01,0.401629310976711
1990-05-01,0.028795611196159324
1990-06-01,0.9767489036729311
1990-07-01,0.30009129623274283
1990-08-01,0.2052754020882072
1990-09-01,0.0
1990-10-01,0.16157477271036763
1990-11-01,0.6789196859722568
1990-12-01,0.4238676122147507
1991-01-01,1.0
1991-02-01,1.0
1991-03-01,1.0
1991-04-01,1.0
1991-05-01,0.2419263769308424
1991-06-01,1.0
1991-07-01,0.5721315891231564
1991-08-01,0.27849198733169295
1991-09-01,0.0
1991-10-01,0.38034219634073957
1991-11-01,0.9698515771908149
1991-12-01,0.06542587938864464
1992-01-01,0.12366917538943371
1992-02-01,0.0
1992-03-01,0.007181612115303245
1992-04-01,0.0
1992-05-01,0.0
1992-06-01,0.6148001986510642
1992-07-01,0.03074228442084923
1992-08-01,0.18819254104003358
1992-09-01,0.15818690207039066
1992-10-01,0.20363088946820126
1992-11-01,0.8011930614117937
1992-12-01,0.17483029997096514
1993-01-01,0.8464218954267848
1993-02-01,0.6556635038012915
1993-03-01,0.9922496345576437
1993-04-01,0.4022145403718116
1993-05-01,0.0
1993-06-01,0.079958270168157
1993-07-01,0.08685411899499525
1993-08-01,0.03074228442084923
1993-09-01,0.09773686890316892
1993-10-01,0.3930207199617493
1993-11-01,0.9180006306243201
1993-12-01,0.2639785232416461
1994-01-01,0.3131675402982422
1994-02-01,0.364735982885822
1994-03-01,1.0
1994-04-01,0.3727032782845067
1994-05-01,0.0
1994-06-01,0.6167962001582218
1994-07-01,0.46406998544598466
1994-08-01,0.0
1994-09-01,0.0
1994-10-01,0.16277170905084434
1994-11-01,1.0
1994-12-01,0.4313143885111887
1995-01-01,0.43772573661242625
1995-02-01,0.06477283450762189
1995-03-01,0.7025664382603954
1995-04-01,0.28477424170965104
1995-05-01,0.0
1995-06-01,0.8702993406117862
1995-07-01,0.015403667985813425
1995-08-01,0.1491179244784529
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,0.8477692867123412
1995-12-01,0.0
1996-01-01,0.03656124263814358
1996-02-01,0.3130007456189257
1996-03-01,0.5498081080443926
1996-04-01,0.22507046933786545
1996-05-01,0.0
1996-06-01,0.6807928710389862
1996-07-01,0.4543432945984984
1996-08-01,0.46208962845530843
1996-09-01,0.0
1996-10-01,0.1336335824420207
1996-11-01,0.9689985382305748
1996-12-01,0.22418214701804592
1997-01-01,0.36399117518864194
1997-02-01,0.47499748078827975
1997-03-01,1.0
1997-04-01,0.9536594806159402
1997-05-01,0.0
1997-06-01,0.0
1997-07-01,0.0
1997-08-01,0.0
1997-09-01,0.0
1997-10-01,0.0
1997-11-01,0.05102807379056498
1997-12-01,0.0
1998-01-01,0.0
1998-02-01,0.0
1998-03-01,0.03638721464571297
1998-04-01,0.028830055383027894
1998-05-01,0.0
1998-06-01,0.4375266130372924
1998-07-01,0.059667704881095913
1998-08-01,0.04611335338360534
1998-09-01,0.015468425699123168
1998-10-01,0.01436322423060649
1998-11-01,0.6582536294262085
1998-12-01,0.014604052403126445
1999-01-01,0.8698710593770497
1999-02-01,1.0
1999-03-01,1.0
1999-04-01,1.0
1999-05-01,0.21029446274046065
1999-06-01,0.9925121592823307
1999-07-01,0.40317923756984525
1999-08-01,0.01436322423060649
1999-09-01,0.10337123029392147
1999-10-01,0.5494842517343355
1999-11-01,1.0
1999-12-01,0.0
2000-01-01,0.3349177732681677
2000-02-01,0.5275449407047845
2000-03-01,0.9303436265755616
2000-04-01,0.5048820578743631
2000-05-01,0.0
2000-06-01,1.0
2000-07-01,0.31373705319938366
2000-08-01,0.16519335741705382
2000-09-01,0.0
2000-10-01,0.21815637210344
2000-11-01,1.0
2000-12-01,0.32062832764581417
2001-01-01,0.4978286732122251
2001-02-01,0.753804593985379
2001-03-01,1.0
2001-04-01,0.792004149865712
2001-05-01,0.03601166749833114
2001-06-01,0.8632349857352494
2001-07-01,0.6033823402293064
2001-08-01,0.12318932102171844
2001-09-01,0.053733618264787966
2001-10-01,0.5705411756222004
2001-11-01,1.0
2001-12-01,0.28569191813847344
2002-01-01,0.6134790943871659
2002-02-01,1.0
2002-03-01,1.0
2002-04-01,1.0
2002-05-01,0.1159248653699385
2002-06-01,0.9851584557921444
2002-07-01,0.20923105224230334
2002-08-01,0.5068321910987469
2002-09-01,0.0691042485883269
2002-10-01,0.5977827414199121
2002-11-01,1.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.007181612115303245
2003-03-01,0.5873459792059946
2003-04-01,0.40939727025500416
2003-05-01,0.0
2003-06-01,0.49481260519720066
2003-07-01,0.18076001628418456
2003-08-01,0.10548811077716572
2003-09-01,0.06840480956554598
2003-10-01,0.09670071839280965
2003-11-01,0.9767812088585205
2003-12-01,0.0
2004-01-01,0.44017687034068614
2004-02-01,0.48238478929262363
2004-03-01,0.9693230584270147
2004-04-01,0.3504419510279468
2004-05-01,0.0
2004-06-01,0.11167646503127515
2004-07-01,0.0828025033868367
2004-08-01,0.09016254428223788
2004-09-01,0.0
2004-10-01,0.029766892216419916
2004-11-01,0.9690631486017537
2004-12-01,0.021783996334534244
2005-01-01,0.14418499546321725
2005-02-01,0.13026676479088053
2005-03-01,0.3431805040347356
2005-04-01,0.15919764368432013
2005-05-01,0.0
2005-06-01,0.4619092774531584
2005-07-01,0.17822616011096928
2005-08-01,0.5549996572178473
2005-09-01,0.1297775220196887
2005-10-01,0.1975672323836732
2005-11-01,0.874021258725872
2005-12-01,0.12492369032491277
2006-01-01,0.08891244622350941
2006-02-01,0.5273116913372717
2006-03-01,1.0
2006-04-01,0.5241767258437826
2006-05-01,0.0
2006-06-01,0.6678694004401431
2006-07-01,0.6330919265183454
2006-08-01,0.7341700432853921
2006-09-01,0.3138151225121027
2006-10-01,0.6411641362885581
2006-11-01,1.0
2006-12-01,0.110696716072459
2007-01-01,0.7172846994444084
2007-02-01,0.6290952271853073
2007-03-01,1.0
2007-04-01,0.9927150570176787
2007-05-01,0.20361455904869688
2007-06-01,0.7879834295313735
2007-07-01,0.028933662304842806
2007-08-01,0.05917195111194872
2007-09-01,0.13371425649263946
2007-10-01,0.523211970216973
2007-11-01,1.0
2007-12-01,0.9157310020782353
2008-01-01,1.0
2008-02-01,1.0
2008-03-01,1.0
2008-04-01,1.0
2008-05-01,0.30516998810830454
2008-06-01,1.0
2008-07-01,0.7591092536480896
2008-08-01,0.27288616628104806
2008-09-01,0.12125830247503618
2008-10-01,0.41013943426176713
2008-11-01,1.0
2008-12-01,0.3050322105140364
2009-01-01,1.0
2009-02-01,1.0
