time,"fraction below threshold ""mn_75kmM"""
1982-01-01,0.5576301562802094
1982-02-01,0.6137165065932725
1982-03-01,0.5449479499527218
1982-04-01,1.0
1982-05-01,1.0
1982-06-01,1.0
1982-07-01,0.39333651394750774
1982-08-01,0.2712658287788244
1982-09-01,0.12601515510350464
1982-10-01,0.02872644846121298
1982-11-01,0.2828709946142556
1982-12-01,0.007181612115303245
1983-01-01,0.0
1983-02-01,0.0
1983-03-01,0.0
1983-04-01,0.050890158168898386
1983-05-01,0.0
1983-06-01,0.07910147737075521
1983-07-01,0.0
1983-08-01,0.01436322423060649
1983-09-01,0.05037502890954223
1983-10-01,0.22084304323621037
1983-11-01,0.014466831152421403
1983-12-01,0.21002198141362005
1984-01-01,0.42288419240457076
1984-02-01,0.46002165793836725
1984-03-01,0.3724575082230458
1984-04-01,0.8996011948125815
1984-05-01,0.9776706150744752
1984-06-01,0.9923469912940107
1984-07-01,0.5533103534368518
1984-08-01,0.11051214803690829
1984-09-01,0.1017905015742914
1984-10-01,0.06470367177267555
1984-11-01,0.3734420686645492
1984-12-01,0.5496749649528959
1985-01-01,0.527211442799888
1985-02-01,0.9612481727882185
1985-03-01,1.0
1985-04-01,1.0
1985-05-01,0.9622649173237899
1985-06-01,0.6004150314512786
1985-07-01,0.31867625272311967
1985-08-01,0.23798147428436098
1985-09-01,0.1602426364161191
1985-10-01,0.5364006320943543
1985-11-01,1.0
1985-12-01,1.0
1986-01-01,0.6025221704180086
1986-02-01,0.5126370374964384
1986-03-01,0.07923952847943869
1986-04-01,0.7850044222962312
1986-05-01,1.0
1986-06-01,0.43422151988387137
1986-07-01,0.31551216006138105
1986-08-01,0.7702211095614407
1986-09-01,0.523925924133232
1986-10-01,0.5030911108865037
1986-11-01,0.7203407513717044
1986-12-01,0.1965474927382346
1987-01-01,0.38591532098703374
1987-02-01,0.29815447206738693
1987-03-01,0.2686769403197304
1987-04-01,0.4231535998697157
1987-05-01,0.31946640369088314
1987-06-01,0.9539861948552599
1987-07-01,0.5854194376584266
1987-08-01,0.8271292978683421
1987-09-01,0.5674322321038925
1987-10-01,0.18802144380113703
1987-11-01,0.08224457039166994
1987-12-01,0.1896380969032952
1988-01-01,0.5350661027606699
1988-02-01,0.891850830217019
1988-03-01,0.48987263001029296
1988-04-01,1.0
1988-05-01,0.9267433571731772
1988-06-01,0.9248587412361917
1988-07-01,0.3960527127820213
1988-08-01,0.7402701523050202
1988-09-01,0.7403658645677199
1988-10-01,0.29620570218111064
1988-11-01,0.37131293676780275
1988-12-01,0.5346992835175572
1989-01-01,0.9459741667243615
1989-02-01,1.0
1989-03-01,1.0
1989-04-01,0.8242977868805483
1989-05-01,0.17680406636506354
1989-06-01,0.5764668976088032
1989-07-01,0.021544836345909736
1989-08-01,0.21629018070716366
1989-09-01,0.5141657451291402
1989-10-01,0.4691492802387715
1989-11-01,0.7194618233829184
1989-12-01,0.36409534861554627
1990-01-01,0.37219189778154915
1990-02-01,1.0
1990-03-01,0.7313041329908041
1990-04-01,0.401629310976711
1990-05-01,1.0
1990-06-01,0.3274970011642399
1990-07-01,0.30009129623274283
1990-08-01,0.3825799905186186
1990-09-01,0.0
1990-10-01,0.16157477271036763
1990-11-01,0.19538431891557276
1990-12-01,0.6250520473375378
1991-01-01,1.0
1991-02-01,1.0
1991-03-01,0.8148976883340665
1991-04-01,1.0
1991-05-01,1.0
1991-06-01,1.0
1991-07-01,0.5721315891231564
1991-08-01,0.4048413177751785
1991-09-01,0.2533278575126399
1991-10-01,0.38034219634073957
1991-11-01,0.66895183077509
1991-12-01,0.19785239529529464
1992-01-01,0.12366917538943371
1992-02-01,0.0
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.01436322423060649
1992-06-01,0.259238405800145
1992-07-01,0.03074228442084923
1992-08-01,0.3740730791226565
1992-09-01,0.5666982557469189
1992-10-01,0.20363088946820126
1992-11-01,0.18874978559179578
1992-12-01,0.4899396986240345
1993-01-01,0.8464218954267848
1993-02-01,0.6556635038012915
1993-03-01,0.313290247502263
1993-04-01,0.4022145403718116
1993-05-01,0.1524992307724616
1993-06-01,0.0
1993-07-01,0.08685411899499525
1993-08-01,0.10511223338018023
1993-09-01,0.5657421391110237
1993-10-01,0.3930207199617493
1993-11-01,0.521697415896773
1993-12-01,0.65357860418159
1994-01-01,0.3131675402982422
1994-02-01,0.364735982885822
1994-03-01,0.22466131209556278
1994-04-01,0.3727032782845067
1994-05-01,0.12978691381034066
1994-06-01,0.10185498492639193
1994-07-01,0.46406998544598466
1994-08-01,0.0
1994-09-01,0.007420772103927755
1994-10-01,0.16277170905084434
1994-11-01,0.6586435009384508
1994-12-01,1.0
1995-01-01,0.43772573661242625
1995-02-01,0.06477283450762189
1995-03-01,0.0
1995-04-01,0.28477424170965104
1995-05-01,0.26154628656506673
1995-06-01,0.6295134332667505
1995-07-01,0.015403667985813425
1995-08-01,0.28248164726740976
1995-09-01,0.0
1995-10-01,0.0
1995-11-01,0.3880149996998963
1995-12-01,0.050786821374323395
1996-01-01,0.03656124263814358
1996-02-01,0.3130007456189257
1996-03-01,0.050924466868750067
1996-04-01,0.22507046933786545
1996-05-01,0.3786981511509419
1996-06-01,0.331187354190566
1996-07-01,0.4543432945984984
1996-08-01,0.6113081139380778
1996-09-01,0.13638810462605516
1996-10-01,0.1336335824420207
1996-11-01,0.5381991062327957
1996-12-01,0.6854869152736004
1997-01-01,0.36399117518864194
1997-02-01,0.47499748078827975
1997-03-01,0.549708286291112
1997-04-01,0.9536594806159402
