time,"fraction below threshold ""mn_75kmS"""
1982-01-01,0.8995953463462659
1982-02-01,0.9097212411817078
1982-03-01,0.7698541277718902
1982-04-01,0.7898086727368475
1982-05-01,0.7395903885943469
1982-06-01,0.8559281409384717
1982-07-01,0.09969385679164604
1982-08-01,0.0
1982-09-01,0.019461036245214988
1982-10-01,0.0
1982-11-01,0.029056205432371984
1982-12-01,0.009594432063869103
1983-01-01,0.04793267795830032
1983-02-01,0.0
1983-03-01,0.0
1983-04-01,0.04820650314492767
1983-05-01,0.0
1983-06-01,0.16733852768553975
1983-07-01,0.0
1983-08-01,0.0
1983-09-01,0.0
1983-10-01,0.0
1983-11-01,0.0
1983-12-01,0.0
1984-01-01,0.1442626648281488
1984-02-01,0.49358256826728536
1984-03-01,0.27905506283929243
1984-04-01,0.5925934444642166
1984-05-01,0.0
1984-06-01,0.5023253942070884
1984-07-01,0.35241702934033475
1984-08-01,0.019461036245214988
1984-09-01,0.08816871065721413
1984-10-01,0.010051583658960231
1984-11-01,0.4864522353882307
1984-12-01,0.2888739609004856
1985-01-01,0.4750375943273487
1985-02-01,1.0
1985-03-01,1.0
1985-04-01,1.0
1985-05-01,0.23687369524499546
1985-06-01,0.6592078207761972
1985-07-01,0.3553539073418769
1985-08-01,0.048896340337785865
1985-09-01,0.0
1985-10-01,0.5778021819764227
1985-11-01,1.0
1985-12-01,0.7505383484803678
1986-01-01,0.4737390357329507
1986-02-01,0.3480782842398134
1986-03-01,0.0
1986-04-01,0.508482183719735
1986-05-01,0.24685603921886806
1986-06-01,0.09775955691259249
1986-07-01,0.29575349927707856
1986-08-01,0.599628217470375
1986-09-01,0.4707334046100709
1986-10-01,0.6669670373020979
1986-11-01,0.8324553034014008
1986-12-01,0.05748780960269741
1987-01-01,0.5620232595354747
1987-02-01,0.6113069732362074
1987-03-01,0.8500069917547406
1987-04-01,0.14640737337874984
1987-05-01,0.019383720433610644
1987-06-01,0.7579006194372404
1987-07-01,0.2559899251777236
1987-08-01,0.5395688217600957
1987-09-01,0.4008135210743028
1987-10-01,0.24145509114316324
1987-11-01,0.44720517574079643
1987-12-01,0.20279854522429155
1988-01-01,0.9200335803843446
1988-02-01,0.9499648260154075
1988-03-01,0.9598307263427819
1988-04-01,0.9098329938546167
1988-05-01,0.0
1988-06-01,0.1278390516564772
1988-07-01,0.4031686227014593
1988-08-01,0.6761521507302969
1988-09-01,0.8539094898270956
1988-10-01,0.6174981060402065
1988-11-01,0.7532746998369513
1988-12-01,0.8512498918227389
1989-01-01,1.0
1989-02-01,1.0
1989-03-01,1.0
1989-04-01,0.4066679819136353
1989-05-01,0.13827350172570022
1989-06-01,0.4931704602073818
1989-07-01,0.26669243028653905
1989-08-01,0.29666335685487855
1989-09-01,0.4335738146943167
1989-10-01,0.5191885854972147
1989-11-01,0.7731080841901673
1989-12-01,0.2507398929584702
1990-01-01,0.8699240952232706
1990-02-01,1.0
1990-03-01,1.0
1990-04-01,0.4564062605201217
1990-05-01,0.4725957502357651
1990-06-01,0.0789049111374484
1990-07-01,0.14859170568499006
1990-08-01,0.18755480340100575
1990-09-01,0.0
1990-10-01,0.26658010787658964
1990-11-01,0.3347521826854751
1990-12-01,0.5468205897227506
1991-01-01,0.9899484163410398
1991-02-01,1.0
1991-03-01,1.0
1991-04-01,0.9800082048371839
1991-05-01,0.6088054096823109
1991-06-01,0.9328393394360627
1991-07-01,0.6874191186533944
1991-08-01,0.15594835932574908
1991-09-01,0.295829324207449
1991-10-01,0.47011782972938615
1991-11-01,0.9308753841202476
1991-12-01,0.723959648727588
1992-01-01,0.9798968326820795
1992-02-01,0.028861167184926373
1992-03-01,0.0
1992-04-01,0.0
1992-05-01,0.0
1992-06-01,0.4344855644644777
1992-07-01,0.0
1992-08-01,0.009672484998761341
1992-09-01,0.18435053262719764
1992-10-01,0.2899719637392732
1992-11-01,0.3408041416223225
1992-12-01,0.24009368681039206
1993-01-01,0.9298991001939144
1993-02-01,0.7502751320469558
1993-03-01,0.5236725854720964
1993-04-01,0.0
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.1886548824530598
1993-08-01,0.040094962480736546
1993-09-01,0.37346930994988353
1993-10-01,0.1865217932111548
1993-11-01,0.8802860670474035
1993-12-01,0.5128533768002494
1994-01-01,0.3079560835460733
1994-02-01,0.7904827943364479
1994-03-01,0.5523492867744778
1994-04-01,0.215771581358387
1994-05-01,0.06862603566861615
1994-06-01,0.18699278692113314
1994-07-01,0.41396074287222573
1994-08-01,0.010051583658960231
1994-09-01,0.00982637534001761
1994-10-01,0.25702051398515213
1994-11-01,0.9100933688804888
1994-12-01,0.9298616586974872
1995-01-01,0.621133535716129
1995-02-01,0.30009205411869766
1995-03-01,0.14399344016415747
1995-04-01,0.028704695352663276
1995-05-01,0.14798473716054952
1995-06-01,0.2867591053232112
1995-07-01,0.030117689998257934
1995-08-01,0.10018172012428918
1995-09-01,0.04950141043186858
1995-10-01,0.1976082532606737
1995-11-01,0.4389472001811847
1995-12-01,0.0
1996-01-01,0.0
1996-02-01,0.18276051194990173
1996-03-01,0.19282215437869324
1996-04-01,0.009594432063869103
1996-05-01,0.13827350172570022
1996-06-01,0.37465994288240617
1996-07-01,0.5124418915003592
1996-08-01,0.295467103487244
1996-09-01,0.11862376815678131
1996-10-01,0.29428905259425603
1996-11-01,0.6389391604429826
1996-12-01,0.3860290226543666
1997-01-01,0.4646355236201541
1997-02-01,0.28953944495385775
1997-03-01,0.7416479835197115
1997-04-01,0.546390590048374
1997-05-01,0.0
